n	Time(sec)	Rate(MB/sec)
1	0.000001	31.574816
2	0.000000	63.779959
4	0.000001	101.367440
8	0.000001	205.271824
16	0.000004	69.504221
32	0.000001	430.448544
64	0.000001	860.015963
128	0.000004	600.178810
256	0.000006	672.609547
512	0.000006	1218.798752
1024	0.000009	1726.328582
2048	0.002939	10.633017
4096	0.000201	310.375480
8192	0.000166	750.818392
16384	0.000268	931.903917
32768	0.000245	2042.600476
65536	0.000322	3102.612710
131072	0.000489	4089.176767
262144	0.000822	4865.203457
524288	0.001405	5694.866220
1048576	0.002572	6221.067177
2097152	0.009167	3490.648117
4194304	0.021743	2943.506386
8388608	0.044642	2867.253381
